"course_id","course_title","course_code","lab_theory","course_type_id","dept_id","semester","syllabus_intro_year","credits","total_internal","total_external","grad_level"
1,Physics Primers,"1B01PHY",T,1,11,1,2014,3,10,40,UG
2,Electronics-I,"2B02PHY",T,1,11,2,2014,3,10,40,UG
3,Allied Physics,"3B03PHY",T,1,11,3,2014,3,10,40,UG
4,Optics,"4B04PHY",T,1,11,4,2014,3,10,40,UG
5,Practical 1,"4B05PHY",L,1,11,1,2014,0,0,0,UG
6,Practical 1,"4B05PHY",L,1,11,2,2014,0,0,0,UG
7,Practical 1,"4B05PHY",L,1,11,3,2014,0,0,0,UG
8,Practical 1,"4B05PHY",L,1,11,4,2014,4,10,40,UG
9,Electrodynamics-I ,"5B06PHY",T,1,11,5,2014,3,10,40,UG
10,Thermal Physics,"5B07PHY",T,1,11,5,2014,3,10,40,UG
11,Classical Mechanics & Relativity,"5B08PHY",T,1,11,5,2014,3,10,40,UG
12,Python Programming,"5B09PHY",T,1,11,5,2014,3,10,40,UG
13,"Atomic, Nuclear and  Particle Physics","5B10PHY",T,1,11,5,2014,3,10,40,UG
14,Electrodynamics- II,"6B11PHY",T,1,11,6,2014,3,10,40,UG
15,Photonics & Spectroscopy,"6B12PHY",T,1,11,6,2014,3,10,40,UG
16,Quantum Mechanics,"6B13PHY",T,1,11,6,2014,3,10,40,UG
17,Electronics-II,"6B14PHY",T,1,11,6,2014,3,10,40,UG
18,Plasma Physics,"6B15PHY(A)",T,1,11,6,2014,3,10,40,UG
19,Astronomy & Astrophysics,"6B15PHY(B)",T,1,11,6,2014,3,10,40,UG
20,Atmospheric Physics,"6B15PHY(C)",T,1,11,6,2014,3,10,40,UG
21,Nanoscience,"6B15PHY(D)",T,1,11,6,2014,3,10,40,UG
22,Material Science,"6B15PHY(E)",T,1,11,6,2014,3,10,40,UG
23,Computational Physics,"6B15PHY(F)",T,1,11,6,2014,3,10,40,UG
24,Practical 2,"6B16PHY",L,1,11,5,2014,0,0,0,UG
25,Practical 2,"6B16PHY",L,1,11,6,2014,4,10,40,UG
26,Practical 2 & 3,"6B16/17PHY",L,1,11,5,2014,0,0,0,UG
27,Practical 3,"6B17PHY",L,1,11,6,2014,4,10,40,UG
28,Project,"6B18PHY",P,1,11,6,2014,4,10,40,UG
29,Complementary Physics I (Mechanics),"1C01PHY",T,3,11,1,2014,2,8,32,UG
30,"Complementary Physics II (Electricity, Magnetism and Thermal Physics)","2C02PHY",T,3,11,2,2014,2,8,32,UG
31,Complementary Physics III (Optics and Photonics),"3C03PHY",T,3,11,3,2014,2,8,32,UG
32,Complementary Physics IV (Modern Physics and Electronics),"4C04PHY",T,3,11,4,2014,2,8,32,UG
33,Complementary Physics Practical,"4C05PHY",L,3,11,1,2014,0,0,0,UG
34,Complementary Physics Practical,"4C05PHY",L,3,11,2,2014,0,0,0,UG
35,Complementary Physics Practical,"4C05PHY",L,3,11,3,2014,0,0,0,UG
36,Complementary Physics Practical,"4C05PHY",L,3,11,4,2014,4,8,32,UG
37,Environmental Physics,"5D01PHY(A)",T,2,11,5,2014,2,5,20,UG
38,Joy of Star Watching,"5D01PHY(B)",T,2,11,5,2014,2,5,20,UG
39,Disaster Management,"5D01PHY(C)",T,2,11,5,2014,2,5,20,UG
40,Biophysics,"5D01PHY(D)",T,2,11,5,2014,2,5,20,UG
41,Fundamentals of Computers & Programming Languages,"1C01CSC",T,3,9,1,2014,2,8,32,UG
42,Programming in C,"2C02CSC",T,3,9,2,2014,2,8,32,UG
43,Database Management System,"3C03CSC",T,3,9,3,2014,2,8,32,UG
44,Visual Programming,"4C04CSC",T,3,9,4,2014,3,8,32,UG
45,"Lab-I (C Programming, DBMS & Visual Basic)","4C05CSC",L,3,9,1,2014,0,0,0,UG
46,"Lab-I (C Programming, DBMS & Visual Basic)","4C05CSC",L,3,9,2,2014,0,0,0,UG
47,"Lab-I (C Programming, DBMS & Visual Basic)","4C05CSC",L,3,9,3,2014,0,0,0,UG
48,"Lab-I (C Programming, DBMS & Visual Basic)","4C05CSC",L,3,9,4,2014,2,8,32,UG
49,COMN - Kavitha Aur Kahani,"1A07HIN",T,4,3,1,2014,4,10,40,UG
50,COMN - Vyakaran Tatha Rachana,"2A08HIN",T,4,3,2,2014,4,10,40,UG
51,COMN - Gadya Ke Vividh Roop,"3A09HIN",T,4,3,3,2014,4,10,40,UG
52,COMN - Natak Aur Upanyas,"4A10HIN",T,4,3,4,2014,4,10,40,UG
53,COMN - Srujanatmak Sahitya,"1A07-1HIN",T,4,3,1,2014,4,10,40,UG
54,COMN - Sampreshaneey Hindi,"2A08-1HIN",T,4,3,2,2014,4,10,40,UG
55,COMN - Aadhunik Sahitya,"1A07-2HIN",T,4,3,1,2014,4,10,40,UG
56,COMN - Vyavaharik Hindi,"2A08-2HIN",T,4,3,2,2014,4,10,40,UG
57,Differential Calculus,"1B01MAT",T,1,10,1,2014,4,12,48,UG
58,Integral Calculus,"2B02MAT",T,1,10,2,2014,4,12,48,UG
59,Elements of Mathematics I,"3B03MAT",T,1,10,3,2014,4,12,48,UG
60,Elements of Mathematics II,"4B04MAT",T,1,10,4,2014,4,12,48,UG
61,Real Analysis,"5B05MAT",T,1,10,5,2014,4,12,48,UG
62,Abstract Algebra,"5B06MAT",T,1,10,5,2014,4,12,48,UG
63,"Differential Equations,Laplace Transform and Fourier Series","5B07MAT",T,1,10,5,2014,4,12,48,UG
64,Vector Calculus,"5B08MAT",T,1,10,5,2014,4,12,48,UG
65,Graph Theory,"5B09MAT",T,1,10,5,2014,4,12,48,UG
66,Linear Algebra,"6B10MAT",T,1,10,6,2014,4,12,48,UG
67,Numerical Methods and Partial Differential Equations,"6B11MAT",T,1,10,6,2014,4,12,48,UG
68,Complex Analysis,"6B12MAT",T,1,10,6,2014,4,12,48,UG
69,Mathematical Analysis and Topology,"6B13MAT",T,1,10,6,2014,4,12,48,UG
70,Operations Research,"6B14AMAT",T,1,10,6,2014,4,12,48,UG
71,Mathematical Economics,"6B14BMAT",T,1,10,6,2014,4,12,48,UG
72,Classical Mechanics,"6B14CMAT",T,1,10,6,2014,4,12,48,UG
73,Programming in Python,"6B14DMAT",T,1,10,6,2014,4,12,48,UG
74,Project,"6B15MAT",T,1,10,6,2014,4,12,48,UG
75,Business Mathematics,"5D01MAT",T,2,10,5,2014,2,5,20,UG
76,Astronomy,"5D02MAT",T,2,10,5,2014,2,5,20,UG
77,Quantitative Arithmetic and Reasoning,"5D03MAT",T,2,10,5,2014,2,5,20,UG
78,Linear Programming,"5D04MAT",T,2,10,5,2014,2,5,20,UG
79,Mathematics for Physics and Electronics I,"1C01MAT-PH",T,3,10,1,2014,3,10,40,UG
80,Mathematics for Physics and Electronics II,"2C02MAT-PH",T,3,10,2,2014,3,10,40,UG
81,Mathematics for Physics and Electronics III,"3C03MAT-PH",T,3,10,3,2014,3,10,40,UG
82,Mathematics for Physics and Electronics IV,"4C04MAT-PH",T,3,10,4,2014,3,10,40,UG
83,Mathematics for Chemistry I,"1C01MAT-CH",T,3,10,1,2014,3,10,40,UG
84,Mathematics for Chemistry II,"2C02MAT-CH",T,3,10,2,2014,3,10,40,UG
85,Mathematics for Chemistry III,"3C03MAT-CH",T,3,10,3,2014,3,10,40,UG
86,Mathematics for Chemistry IV,"4C04MAT-CH",T,3,10,4,2014,3,10,40,UG
87,Mathematics for Statistics I,"1C01MAT-ST",T,3,10,1,2014,3,10,40,UG
88,Mathematics for Statistics II,"2C02MAT-ST",T,3,10,2,2014,3,10,40,UG
89,Mathematics for Statistics III,"3C03MAT-ST",T,3,10,3,2014,3,10,40,UG
90,Mathematics for Statistics IV,"4C04MAT-ST",T,3,10,4,2014,3,10,40,UG
91,Descriptive Statistics,"1B01STA",T,1,12,1,2014,3,12,48,UG
92,Probability Theory,"2B02STA",T,1,12,2,2014,3,12,48,UG
93,Probablity Distributions,"3B03STA",T,1,12,3,2014,3,12,48,UG
94,Statistical Inference I,"4B04STA",T,1,12,4,2014,4,12,48,UG
95,Statistical Inference II,"5B05STA",T,1,12,5,2014,4,12,48,UG
96,Mathematical Analysis I,"5B06STA",T,1,12,5,2014,4,12,48,UG
97,Statistics Using R,"5B07STA",T,1,12,5,2014,4,12,48,UG
98,Sampling Techniques,"5B08STA",T,1,12,5,2014,4,12,48,UG
99,Statistical Quality Control And Operations Research,"5B09STA",T,1,12,5,2014,4,12,48,UG
100,Mathematical Analysis II,"6B10STA",T,1,12,6,2014,4,12,48,UG
101,"Time Series, Index Numbers And Vital Statistics","6B11STA",T,1,12,6,2014,4,12,48,UG
102,Design of Experiments,"6B12STA",T,1,12,6,2014,4,12,48,UG
103,Actuarial Statistics,"6B13STA",T,1,12,6,2014,4,12,48,UG
104,Practicals Using R,"6B14STA",L,1,12,6,2014,4,12,48,UG
105,Project,"6B15STA",P,1,12,6,2014,3,12,48,UG
106,Basics of Statistics,"5D01STA",T,2,12,5,2014,2,5,20,UG
107,Sampling Techniques,"5D02STA",T,2,12,5,2014,2,5,20,UG
108,Computer Oriented Data Analysis,"5D03STA",T,2,12,5,2014,2,5,20,UG
109,Basics Statistics,"1C01STA",T,3,12,1,2014,3,10,40,UG
110,Probability Theory and Random Variables,"2C02STA",T,3,12,2,2014,3,10,40,UG
111,Standard Probability Distributions,"3C03STA",T,3,12,3,2014,3,10,40,UG
112,Statistical Inference,"4C04STA",T,3,12,4,2014,3,10,40,UG
113,Basic Tools For Economic Analysis I,"5B07ECO",T,3,12,5,2014,4,10,40,UG
114,Basic Tools For Economic Analysis II,"6B12ECO",T,3,12,6,2014,4,10,40,UG
115,Theoretical and Inorganic Chemistry,"1B01PCH",T,1,8,1,2014,3,10,40,UG
116,Analytical Chemistry,"2B02PCH",T,1,8,2,2014,3,10,40,UG
117,Organic Chemistry I,"3B04CHE",T,1,8,3,2014,3,10,40,UG
118,Organic Chemistry II,"4B06CHE",T,1,8,4,2014,3,10,40,UG
119,Core Course Practicals 1 Volumetric Analysis,"3B03CHE",L,1,8,3,2014,0,0,0,UG
120,Core Course Practicals 1 Volumetric Analysis,"4B03CHE",L,1,8,4,2014,2,10,40,UG
121,Core Course Practicals 2 Core Course Practicals 2 Inorganic Qualitative Analysis,"3B05CHE",L,1,8,3,2014,0,0,0,UG
122,Core Course Practicals 2 Core Course Practicals 2 Inorganic Qualitative Analysis,"4B05CHE",L,1,8,4,2014,2,10,40,UG
123,Inorganic Chemistry I,"5B07CHE",T,1,8,5,2014,4,10,40,UG
124,Inorganic Chemistry II,"5B08CHE",T,1,8,5,2014,4,10,40,UG
125,Physical Chemistry I,"5B09CHE",T,1,8,5,2014,4,10,40,UG
126,Physical Chemistry II,"5B10CHE",T,1,8,5,2014,4,10,40,UG
127,Organic Chemistry III,"6B14CHE",T,1,8,6,2014,4,10,40,UG
128,Physical Chemistry III,"6B15CHE",T,1,8,6,2014,3,10,40,UG
129,Physical Methods in Chemistry,"6B16CHE",T,1,8,6,2014,3,10,40,UG
130,Environmental Chemistry,"6B17CHE-A",T,1,8,6,2014,3,10,40,UG
131,Applied Chemistry,"6B17CHE-B",T,1,8,6,2014,3,10,40,UG
132,Polymer Chemistry,"6B17CHE-C",T,1,8,6,2014,3,10,40,UG
133,Nano Chemistry,"6B17CHE-D",T,1,8,6,2014,3,10,40,UG
134,Core Course Practicals 3 Gravimetric Analysis,"5B11CHE",L,1,8,5,2014,0,0,0,UG
135,Core Course Practicals 3 Gravimetric Analysis,"6B11CHE",L,1,8,6,2014,3,10,40,UG
136,Core Course Practicals 4 Organic Chemistry,"5B12CHE",L,1,8,5,2014,0,0,0,UG
137,Core Course Practicals 4 Organic Chemistry,"6B12CHE",L,1,8,6,2014,3,10,40,UG
138,Core Course Practicals 5 Physical Chemistry,"6B18CHE",L,1,8,6,2014,3,10,40,UG
139,Industrial Visit,"5B13CHE",I,1,8,5,2014,2,0,5,UG
140,Project,"6B13CHE",P,1,8,6,2014,2,4,16,UG
141,Chemistry In Service To Man,"5D01CHE",T,2,8,5,2014,2,5,20,UG
142,Drugs-Use & Abuse,"5D02CHE",T,2,8,5,2014,2,5,20,UG
143,Environmental Studies,"5D03CHE",T,2,8,5,2014,2,5,20,UG
144,Nanomaterials,"5D04CHE",T,2,8,5,2014,2,5,20,UG
145,Chemistry (For Physical & Biological Sciences),"1C01CHE",T,3,8,1,2014,2,8,32,UG
146,Chemistry (For Physical & Biological Sciences),"2C02CHE",T,3,8,2,2014,2,8,32,UG
147,Chemistry (For Biological Science),"3C03CHE(BS",T,3,8,3,2014,2,8,32,UG
148,Chemistry (For Physical Science),"3C03CHE(PS",T,3,8,3,2014,2,8,32,UG
149,Chemistry (For Biological Science),"4C04CHE(BS",T,3,8,4,2014,2,8,32,UG
150,Chemistry (For Physical Science),"4C04CHE(PS",T,3,8,4,2014,2,8,32,UG
151,Complementary Chemistry Practical,"4C05CHE",L,3,8,1,2014,0,0,0,UG
152,Complementary Chemistry Practical,"4C05CHE",L,3,8,2,2014,0,0,0,UG
153,Complementary Chemistry Practical,"4C05CHE",L,3,8,3,2014,0,0,0,UG
154,Complementary Chemistry Practical,"4C05CHE",L,3,8,4,2014,4,8,32,UG
155,Protista and Non Chordata-I,"1B01ZLG",T,1,13,1,2014,3,10,40,UG
156,Practical-I,"4B01ZLG-P",L,1,13,1,2014,0,0,0,UG
157,Protista and Non Chordata-II,"2B02ZLG",T,1,13,2,2014,3,10,40,UG
158,Practical-I,"4B01ZLG-P",L,1,13,2,2014,0,0,0,UG
159,Chordata-I,"3B03ZLG",T,1,13,3,2014,3,10,40,UG
160,Practical-I,"4B01ZLG-P",L,1,13,3,2014,0,0,0,UG
161,Chordata-II & Comparative Anatomy,"4B04ZLG",T,1,13,4,2014,3,10,40,UG
162,Practical-I,"4B01ZLG-P",L,1,13,4,2014,4,10,40,UG
163,Biochemistry & Endocrinology,"5B05ZLG",T,1,13,5,2014,3,10,40,UG
164,"Biophysics,Biostatistics & Methodology","5B06ZLG",T,1,13,5,2014,3,10,40,UG
165,Cell Biology & Immunology,"5B07ZLG",T,1,13,5,2014,3,10,40,UG
166,Hereditary Science,"5B08ZLG",T,1,13,5,2014,3,10,40,UG
167,Comparative Animal Physiology & Human Physiology.,"5B09ZLG",T,1,13,5,2014,3,10,40,UG
168,Practical-II,"6B02ZLG-P",L,1,13,5,2014,0,0,0,UG
169,Molecular Biology & Bio Informatics,"6B10ZLG",T,1,13,6,2014,3,10,40,UG
170,Environmental Science & Conservation Biology,"6B11ZLG",T,1,13,6,2014,3,10,40,UG
171,"Developmental Biology, Teratology & Gerontology","6B12ZLG",T,1,13,6,2014,3,10,40,UG
172,"Ethology, Evolution & Zoogeography","6B13ZLG",T,1,13,6,2014,3,10,40,UG
173,Applied Zoology,"6B14ZLG",T,1,13,6,2014,3,10,40,UG
174,Practical-II,"6B02ZLG-P",L,1,13,6,2014,3,10,40,UG
175,Practical-III,"6B03ZLG-P",L,1,13,6,2014,4,10,40,UG
176,Project,"6B15ZLG",P,1,13,6,2014,2,5,20,UG
177,Nutrition and Health,"5D01ZLG",T,2,13,5,2014,2,5,20,UG
178,Apiculture and Sericulture,"5D02ZLG",T,2,13,5,2014,2,5,20,UG
180,Reproductive Health and Sex Education,"5D04ZLG",T,2,13,5,2014,2,5,20,UG
181,Diversity of Life-I,"1C01ZLG",T,3,13,1,2014,2,8,32,UG
182,Practical,"4C05ZLG-P",L,3,13,1,2014,0,0,0,UG
183,Diversity of Life-II,"2C02ZLG",T,3,13,2,2014,2,8,32,UG
184,Practical,"4C05ZLG-P",L,3,13,2,2014,0,0,0,UG
185,Agriculture And Forest Entomology,"3C03ZLG",T,3,13,3,2014,2,8,32,UG
186,Practical,"4C05ZLG-P",L,3,13,3,2014,0,0,0,UG
187,Medical Zoology,"4C04ZLG",T,3,13,4,2014,2,8,32,UG
188,Practical,"4C05ZLG-P",L,3,13,4,2014,4,8,32,UG
189,Environmental Science and Phytogeography,"1B01BOT/PL",T,1,7,1,2014,3,10,40,UG
190,Angiosperm Anatomy and Microtechnique,"2B02BOT/PL",T,1,7,2,2014,3,10,40,UG
191,"Phycology, Mycology and Lichenology","3B03BOT/PL",T,1,7,3,2014,3,10,40,UG
192,Plantation Science,"3A11PLS",T,1,7,3,2014,3,8,32,UG
193,Horticulture,"3A12PLS",T,1,7,3,2014,3,8,32,UG
194,"Bryology, Pteridology, Gymnosperms and Paleobotany","4B04BOT/PL",T,1,7,4,2014,3,10,40,UG
195,Herbal Science,"4A13PLS",T,1,7,4,2014,3,8,32,UG
196,Plantation Management,"4A14PLS",T,1,7,4,2014,3,8,32,UG
197,Core Practical I,"4B05BOT/PL",L,1,7,4,2014,4,15,60,UG
198,General Practical 1,"4A15PLS",L,1,7,4,2014,4,8,30,UG
199,"Taxonomy, Morphology and Economic Botany","5B06BOT/PL",T,1,7,5,2014,4,10,40,UG
200,Microbiology and Plant Pathology,"5B07BOT/PL",T,1,7,5,2014,4,10,40,UG
201,Plant Physiology and Biochemistry,"5B08BOT/PL",T,1,7,5,2014,4,10,40,UG
202,"Bioinformatics, Instrumentation and Research Methodology","5B09BOT/PL",T,1,7,5,2014,3,10,40,UG
203,"Plant Tissue culture, Embryology and Palynology","6B10BOT/PL",T,1,7,6,2014,3,10,40,UG
204,"Genetics, Biostatitics and Evolution","6B11BOT/PL",T,1,7,6,2014,4,10,40,UG
205,Biotechnology and Crop improvement,"6B12BOT/PL",T,1,7,6,2014,4,10,40,UG
206,Cell and Molecular Biology,"6B13BOT/PL",T,1,7,6,2014,4,10,40,UG
207,Core Practical II,"6B14BOT/PL",L,1,7,6,2014,4,15,60,UG
208,Core Practical III,"6B15BOT/PL",L,1,7,6,2014,4,15,60,UG
209,Project,"6B16BOT/PL",L,1,7,6,2014,2,5,20,UG
210,Diversity of Life-Microbes & Thallophytes,"1C01BOT/PL",L,3,7,1,2014,2,8,32,UG
211,"Archaegoniatae, Palaeobotany And Reproduction In Angiosperms","2C02BOT/PL",L,3,7,2,2014,2,8,32,UG
212,"Angiosperms–Morphology, Systematics, Utility, Plant Breeding and Plant Pathology","3C03BOT/PL",L,3,7,3,2014,2,8,32,UG
213,Angiosperm - Anatomy and Physiology,"4C04BOT/PL",L,3,7,4,2014,2,8,32,UG
214,Practical Paper - I,"4C05BOT/PL",L,3,7,4,2014,2,8,30,UG
215,Mushroom Cultivation and Marketing,"5D01BOT/PL",L,2,7,5,2014,2,5,20,UG
216,Medicinal Plants,"5D02BOT/PL",L,2,7,5,2014,2,5,20,UG
217,Environmental Science,"5D03BOT/PL",L,2,7,5,2014,2,5,20,UG
218,Micro Economic Analysis-I,"1B01ECO",T,1,1,1,2014,5,10,40,UG
219,Micro Economic Analysis-II,"2B02ECO",T,1,1,2,2014,4,10,40,UG
220,Macro Economic Analysis-I,"3B03ECO",T,1,1,3,2014,5,10,40,UG
221,International Economics,"3B04ECO",T,1,1,3,2014,4,10,40,UG
222,Macro Economic Analysis-II,"4B05ECO",T,1,1,4,2014,4,10,40,UG
223,Environmental Economics,"4B06ECO",T,1,1,4,2014,4,10,40,UG
224,Basic Tools for Economic Analysis-I,"5B07ECO",T,1,1,5,2014,4,10,40,UG
225,Alternative Economics,"5B08ECO",T,1,1,5,2014,4,10,40,UG
226,Research Methods and Techniques for Economic Analysis,"5B09ECO",T,1,1,5,2014,4,10,40,UG
227,Development Economics,"5B10ECO",T,1,1,5,2014,4,10,40,UG
228,Economics of Banking and Finance,"5B11ECO",T,1,1,5,2014,4,10,40,UG
229,Basic Tools for Economic Analysis-II,"6B12ECO",T,1,1,6,2014,4,10,40,UG
230,Central Themes in Indian Economy,"6B13ECO",T,1,1,6,2014,4,10,40,UG
231,Public Economics,"6B14ECO",T,1,1,6,2014,4,10,40,UG
232,Basic Econometric Analysis,"6B15ECO",T,1,1,6,2014,4,10,40,UG
233,Project,"6B16ECO",T,1,1,6,2014,4,10,40,UG
234,Economics of Travel and Tourism,"5D01ECO",T,2,1,5,2014,2,5,20,UG
235,Kerala Economy,"5D02ECO",T,2,1,5,2014,2,5,20,UG
236,Economics of Share Market,"5D03ECO",T,2,1,5,2014,2,5,20,UG
237,Introductory Economics-I,"1C09ECO",T,3,1,1,2014,4,10,40,UG
238,Introductory Economics-II,"2C10ECO",T,3,1,2,2014,4,10,40,UG
239,Population Studies,"1C05ECO",T,3,1,1,2014,4,10,40,UG
240,Regional Economics,"2C06ECO",T,3,1,2,2014,4,10,40,UG
241,Sahithyaganangal,"1A07MAL",T,4,5,1,2014,4,10,40,UG
242,Gadyaroopangal,"2A08MAL",T,4,5,2,2014,4,10,40,UG
